City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
447,Namatanai,PG,78.64,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
448,Port Macquarie,AU,63.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
449,Sainte-Marie,RE,80.76,clear sky,-20.8968,55.5496,Les pailles en queue de Sainte Marie
451,Wismar,DE,41.14,overcast clouds,53.9,11.4667,Townhouse Wismar a Vagabond Club
452,Axim,GH,81.23,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
453,Waingapu,ID,77.79,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
454,Hambantota,LK,75.97,overcast clouds,6.1241,81.1185,Bungalow 63
455,Les Cayes,HT,84.92,clear sky,18.2,-73.75,Villa Orphee
459,Prince Rupert,CA,41.09,light rain,54.3161,-130.3201,Crest Hotel
460,Grand Gaube,MU,81.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
465,Calama,CL,75.74,overcast clouds,-22.4667,-68.9333,Diego De Almagro Calama
466,Wonthaggi,AU,68.68,broken clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
468,Tabas,IR,52.16,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
469,West Bay,KY,83.05,broken clouds,19.3667,-81.4167,Calypso Cove
470,Oranjestad,AW,78.35,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
471,Lorengau,PG,80.35,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
473,Chake Chake,TZ,78.51,overcast clouds,-5.2459,39.7666,Hotel Archipelago
474,San Francisco,US,69.64,few clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
476,Ko Samui,TH,82.36,scattered clouds,9.5357,99.9357,The Passage
477,Wassenberg,DE,50.52,overcast clouds,51.1,6.15,Hotel Restaurant Waldschänke Kroatischer-Grill
478,Voh,NC,76.32,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
479,Xichang,CN,40.5,clear sky,27.8964,102.2634,Xichang ibis Hotel
481,Bang Saphan,TH,75.67,scattered clouds,11.2126,99.5117,Ladawan Boutique Hotel
482,Northam,GB,49.91,overcast clouds,51.0333,-4.2167,Durrant House Hotel
483,Coihueco,CL,90.07,clear sky,-36.6167,-71.8333,Frutillares Centro Coihueco
